tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
comercio,tienda,enciso,3,8.0,2018-04-04,7800000.0,microempresarial
comercio,variedades,barrio caicedo,2,9.0,2018-03-08,15000000.0,microempresarial
industria,fabrica de,manrique central no. 1,3,4.0,2017-12-05,737700000.0,microempresarial
comercio,variedades,pablo vi,2,2.0,2018-06-21,4000000.0,microempresarial
comercio,joyeria,popular,2,1.0,2019-04-30,4000000.0,microempresarial
comercio,variedades,belen,1,16.0,2016-02-19,2000000.0,microempresarial
industria,fabrica de productos,las palmas,2,10.0,2016-04-22,6890000.0,microempresarial
comercio,fabrica de,belen,3,16.0,2018-04-03,7000000.0,microempresarial
servicio,peluqueria,pedregal,3,6.0,2017-02-17,4000000.0,microempresarial
industria,fabrica de,aranjuez,1,4.0,2018-03-02,7800000.0,microempresarial
servicio,variedades,robledo,2,7.0,2018-08-27,7000000.0,microempresarial
comercio,variedades,manrique oriental,2,3.0,2017-08-01,3000000.0,microempresarial
industria,fabrica de productos,tejelo,3,5.0,2017-06-14,7300000.0,microempresarial
comercio,comidas rapidas,cabecera san antonio,1,80.0,2016-10-26,689400000.0,microempresarial
servicio,taller de mecanica,las violetas,2,16.0,2018-03-23,780000000.0,microempresarial
industria,taller de electronica,robledo,3,7.0,2017-01-24,5000000.0,microempresarial
comercio,variedades,villatina,2,8.0,2016-09-06,5000000.0,microempresarial
industria,fabrica de,belen,3,16.0,2016-08-23,6900000.0,microempresarial
comercio,variedades,belen,3,16.0,2018-11-15,4000000.0,microempresarial
comercio,variedades,buenos aires,3,9.0,2017-02-09,7370000.0,microempresarial
comercio,taller de mecanica,campo valdes no. 1,3,4.0,2017-11-09,7300000.0,microempresarial
servicio,mantenimiento en,santa cruz,2,2.0,2018-04-09,700000000.0,microempresarial
industria,fabrica de,manrique central no. 2,3,3.0,2017-05-03,7370000.0,microempresarial
industria,panaderia,las independencias,1,13.0,2016-12-19,1000000.0,microempresarial
comercio,comidas rapidas,moravia,2,4.0,2018-08-01,2500000.0,microempresarial
servicio,comidas rapidas,san javier no.1,2,13.0,2018-11-08,780000000.0,microempresarial
servicio,taller de mecanica,aranjuez,2,4.0,2017-03-10,7300000.0,microempresarial
comercio,variedades,la florida,2,14.0,2018-04-24,3345000.0,microempresarial
servicio,taller de electronica,pedregal,2,6.0,2017-11-01,7370000.0,microempresarial
comercio,distribuidora de,enciso,3,8.0,2016-08-10,6000000.0,microempresarial
comercio,fabrica de,san javier no.1,2,13.0,2018-05-08,6500000.0,microempresarial
comercio,publicidad y,enciso,2,8.0,2019-04-03,4500000.0,microempresarial
comercio,tienda,lopez de mesa,3,7.0,2018-05-11,7800000.0,microempresarial
servicio,restaurante,barrio caicedo,1,9.0,2016-02-20,6890000.0,microempresarial
comercio,charcuteria,girardot,3,5.0,2017-02-09,7377000.0,microempresarial
comercio,tienda,villa hermosa,2,8.0,2018-06-07,6000000.0,microempresarial
servicio,gimnasio,enciso,2,8.0,2018-10-11,7800000.0,microempresarial
servicio,comidas rapidas,villa hermosa,3,60.0,2016-09-28,5000000.0,microempresarial
comercio,comidas rapidas,prado,3,10.0,2017-10-10,4426000.0,microempresarial
servicio,tienda,cabecera san antonio,3,80.0,2018-11-26,6662000.0,microempresarial
servicio,variedades,el salvador,3,9.0,2018-07-17,19000000.0,empresarial ed.
comercio,tienda,nuevos conquistadores,1,13.0,2017-06-28,7000000.0,microempresarial
servicio,comidas rapidas,buenos aires,3,9.0,2016-04-20,5000000.0,microempresarial
comercio,comidas rapidas,palmitas,2,50.0,2017-09-19,7000000.0,microempresarial
comercio,fabrica de,cabecera san cristobal,2,60.0,2017-08-11,7000000.0,microempresarial
comercio,variedades,popular,2,1.0,2018-07-23,7800000.0,microempresarial
comercio,fabrica de,enciso,2,8.0,2019-03-20,8200000.0,microempresarial
industria,fabrica de,el salvador,2,9.0,2017-01-25,6800000.0,microempresarial
comercio,variedades,santo domingo savio,1,1.0,2016-12-26,6000000.0,microempresarial
comercio,distribuidora de,florencia,3,5.0,2018-10-03,6000000.0,microempresarial
comercio,tienda,enciso,2,8.0,2017-10-05,7377000.0,microempresarial
servicio,taller de electronica,robledo,2,7.0,2017-07-26,7000000.0,microempresarial
comercio,recreativo educativo,la loma oriental,2,60.0,2018-12-19,3000000.0,microempresarial
comercio,taller de mecanica,popular,2,1.0,2019-06-05,4000000.0,microempresarial
servicio,distribuidora de,buenos aires,3,9.0,2016-07-25,6000000.0,microempresarial
comercio,miscelanea,santa cruz,2,2.0,2018-07-11,3300000.0,microempresarial
servicio,restaurante,miranda,2,4.0,2017-03-17,6000000.0,microempresarial
servicio,peluqueria,villa niza,2,2.0,2018-04-05,5000000.0,microempresarial
comercio,almacen de ropa en,florencia,3,5.0,2018-04-26,5000000.0,microempresarial
comercio,lavanderia,cabecera san cristobal,3,60.0,2018-06-12,7800000.0,microempresarial
comercio,tienda,santo domingo savio,1,1.0,2019-03-15,3000000.0,microempresarial
comercio,cafeteria,manrique central no. 1,1,4.0,2018-03-09,7000000.0,microempresarial
comercio,almacen de ropa en,aures no. 2,2,7.0,2016-10-07,6800000.0,microempresarial
comercio,comidas rapidas,santo domingo savio,1,1.0,2018-11-08,4000000.0,microempresarial
comercio,legumbreria,robledo,2,7.0,2017-05-30,7000000.0,microempresarial
servicio,peluqueria,trinidad,3,15.0,2018-05-23,2500000.0,microempresarial
servicio,recreativo educativo,barrio caicedo,2,9.0,2018-11-14,7500000.0,microempresarial
comercio,comidas rapidas,castilla,3,5.0,2018-06-18,4000000.0,microempresarial
servicio,papeleria,villa hermosa,3,8.0,2016-10-12,6890000.0,microempresarial
industria,fabrica de,san javier no.1,2,13.0,2017-11-07,5000000.0,microempresarial
industria,fabrica de,sucre,3,8.0,2016-08-05,3000000.0,microempresarial
comercio,legumbreria,santo domingo savio,1,1.0,2017-07-21,7000000.0,microempresarial
comercio,fabrica de calzado,castilla,3,5.0,2018-05-02,5000000.0,microempresarial
industria,fabrica de,san antonio,3,8.0,2017-06-16,7000000.0,microempresarial
comercio,variedades,cabecera san cristobal,3,60.0,2017-05-31,7000000.0,microempresarial
industria,fabrica de,manrique central no. 1,2,4.0,2017-10-23,7300000.0,microempresarial
servicio,cafe e internet,la pradera,1,13.0,2016-02-15,6800000.0,microempresarial
comercio,productos de belleza,cabecera san antonio,3,80.0,2019-03-06,5000000.0,microempresarial
comercio,comidas rapidas,el salvador,2,9.0,2018-07-09,7800000.0,microempresarial
comercio,restaurante,doce de octubre no.1,2,6.0,2017-03-06,7000000.0,microempresarial
industria,fabrica de alimentos,los mangos,2,8.0,2016-12-13,690000000.0,microempresarial
comercio,comidas rapidas,cabecera san cristobal,2,60.0,2016-12-01,1000000.0,microempresarial
comercio,almacen de ropa en,manrique central no. 1,2,4.0,2019-02-28,8200000.0,microempresarial
comercio,miscelanea,manrique oriental,2,3.0,2016-10-18,6500000.0,microempresarial
comercio,comidas rapidas,robledo,1,7.0,2017-05-23,2500000.0,microempresarial
comercio,tienda,eduardo santos,2,13.0,2017-11-17,7370000.0,microempresarial
servicio,peluqueria,manrique central no. 1,2,4.0,2018-03-12,7000000.0,microempresarial
agropecuaria,variedades,el salvador,3,9.0,2018-02-16,5000000.0,microempresarial
comercio,fabrica de calzado,aranjuez,2,4.0,2018-07-27,4000000.0,microempresarial
industria,fabrica de,las brisas,3,5.0,2017-11-07,7370000.0,microempresarial
comercio,almacen de ropa en,guayabal,3,15.0,2017-07-17,7300000.0,microempresarial
servicio,comidas rapidas,villatina,1,8.0,2019-05-27,8281000.0,microempresarial
comercio,distribuidora de,santa cruz,1,2.0,2018-03-15,5000000.0,microempresarial
servicio,comidas rapidas,robledo,2,7.0,2018-02-06,7300000.0,microempresarial
industria,fabrica de,robledo,2,7.0,2016-05-11,5800000.0,microempresarial
comercio,variedades,moravia,2,4.0,2018-07-12,7800000.0,microempresarial
comercio,tienda,boston,2,10.0,2019-06-14,2000000.0,microempresarial
industria,fabrica de,buenos aires,3,9.0,2017-07-31,7377000.0,microempresarial
servicio,peluqueria,playon de los,2,2.0,2018-06-13,7000000.0,microempresarial
servicio,peluqueria,la floresta,2,12.0,2019-04-04,6500000.0,microempresarial
comercio,almacen de ropa en,popular,1,1.0,2016-10-24,6000000.0,microempresarial
comercio,almacen de ropa en,campo valdes no. 1,3,4.0,2019-06-19,8000000.0,microempresarial
industria,gimnasio,manrique central no. 1,2,4.0,2017-05-24,7000000.0,microempresarial
comercio,variedades,boston,2,10.0,2017-11-10,7370000.0,microempresarial
comercio,cerrajeria,cabecera san cristobal,3,60.0,2017-06-30,7377000.0,microempresarial
industria,fabrica de,barrio caicedo,1,9.0,2017-09-19,7200000.0,microempresarial
comercio,joyeria,santa elena central,3,90.0,2016-11-02,550000000.0,microempresarial
comercio,variedades,bombona no. 1,3,10.0,2018-02-05,7800000000.0,microempresarial
comercio,variedades,belen,3,16.0,2017-12-14,3000000.0,microempresarial
comercio,distribuidora de,centro admtivo,3,10.0,2018-08-13,7800000.0,microempresarial
comercio,marqueteria,robledo,2,7.0,2017-11-20,2000000.0,microempresarial
comercio,comidas rapidas,guayabal,3,15.0,2018-02-13,6000000.0,microempresarial
servicio,tienda de helados,robledo,2,7.0,2016-04-21,6500000.0,microempresarial
comercio,restaurante,altavista,2,70.0,2018-04-04,5000000.0,microempresarial
comercio,variedades,manrique central no. 1,2,4.0,2018-04-26,5000000.0,microempresarial
comercio,miscelanea,robledo,2,7.0,2018-03-21,7000000.0,microempresarial
comercio,publicidad y,buenos aires,3,9.0,2017-02-07,3024639600.0,empresarial ed.
comercio,comidas rapidas,barrio caicedo,1,9.0,2018-02-02,500000000.0,microempresarial
comercio,tienda de helados,aranjuez,3,4.0,2016-06-13,5000000.0,microempresarial
comercio,comidas rapidas,andalucia,2,2.0,2018-11-07,3000000.0,microempresarial
industria,fabrica de,el salado,1,13.0,2018-03-23,5000000.0,microempresarial
servicio,peluqueria,pedregal alto,2,60.0,2018-11-28,6500000.0,microempresarial
servicio,productos de belleza,aranjuez,3,4.0,2018-07-10,7800000.0,microempresarial
comercio,tienda,belen,2,16.0,2017-11-15,7370000.0,microempresarial
comercio,almacen de ropa en,popular,2,1.0,2018-07-04,3000000.0,microempresarial
comercio,distribuidora de,la milagrosa,3,9.0,2018-08-13,7377170.0,microempresarial
servicio,peluqueria,san javier no.1,1,13.0,2018-02-01,7300000.0,microempresarial
industria,fabrica de,robledo,2,7.0,2018-08-24,7000000.0,microempresarial
comercio,variedades,santa cruz,2,2.0,2017-09-15,600000000.0,microempresarial
servicio,carpinteria,aranjuez,3,4.0,2017-05-30,7370000.0,microempresarial
